Cear&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Pacajus,2309607,pacajuense,BRUNO PEREIRA FIGUEIREDO,250.304,74145,243.00,98.2,0.659,7.61,130640.47392,115063.05222,16100.81,
Pacatuba,2309706,pacatubano,CARLOMANO GOMES MARQUES,133.236,85647,547.74,94.6,0.675,9.32,155367.73579,143992.76127,13059.07,
Pacoti,2309805,pacotiense,MARCOS VENICIOS NORJOSA GONZAGA,112.433,12313,103.61,96.5,0.635,24.79,33058.44979,30571.83887,11105.20,
Pacuj&aacute;,2309904,pacujaense,RAIMUNDO RODRIGUES DE SOUSA FILHO,88.355,6565,78.63,98.5,0.621,-,25845.9189,19807.39588,8413.70,
Palhano,2310001,palhanense,IVANILDO NUNES DA SILVA,436.980,9458,20.13,98.1,0.638,24.39,23889.59752,21230.16995,9874.25,
Palm&aacute;cia,2310100,palmaciano,DAVID CAMPOS MARTINS,128.896,13553,101.90,91.7,0.622,-,22.15967,23779.59408,8725.16,
Paracuru,2310209,paracuruense,WEMBLEY GOMES COSTA,304.734,35526,105.35,97.2,0.637,13.18,117339.29868,98096.46918,14633.22,
Paraipaba,2310258,paraipabense,ARIANA CORDEIRO FA&Ccedil;ANHA DE AQUINO,289.231,33232,99.83,97.8,0.634,4.24,8947.8277,65060.16841,14755.89,
Parambu,2310308,parambuense,ROMULO MATEUS NORONHA,2313.868,31391,13.59,96.6,0.570,12.11,68411.84104,65099.22984,8334.36,
Paramoti,2310407,paramotiense,ANTONIA TELV&Acirc;NIA FERREIRA BRAZ,539.238,12276,23.43,98.7,0.583,17.24,46031.13183,38441.85235,9015.57,
Pedra Branca,2310506,pedra-branquense,ANTONIO GOIS MONTEIRO MENDES,1302.081,43359,32.14,98.1,0.603,6.3,82925.93161,81111.07524,8675.86,
Penaforte,2310605,penafortense,RAFAEL FERREIRA ANGELO,150.536,9207,57.96,96.7,0.646,5.68,31652.88666,27208.08937,12715.18,
